pid,time,memory,cpu
6352,1638981836.817624,2318336,93.3
6353,1638981836.8377678,2330624,88.0
6350,1638981836.7876558,3534848,0.0
6353,1638981838.048531,2330624,75.5
6352,1638981838.032908,2318336,76.7
6350,1638981838.056572,3534848,0.0
6350,1638981839.2032561,3534848,0.0
6352,1638981839.215807,2318336,100.0
6353,1638981839.2324638,2330624,100.1
6352,1638981840.355582,2318336,98.3
6350,1638981840.3649569,3534848,0.0
6353,1638981840.365115,2330624,98.3
6353,1638981841.4906318,2330624,98.3
6350,1638981841.490981,3534848,0.0
6352,1638981841.4908218,2318336,94.7
6353,1638981842.679873,2330624,97.1
6352,1638981842.712733,2318336,84.8
6350,1638981842.7334359,3534848,0.0
6353,1638981843.853324,2330624,76.2
6352,1638981843.853482,2318336,76.6
6350,1638981843.853122,3534848,0.0
6352,1638981845.000083,2318336,99.2
6353,1638981845.000282,2330624,97.5
6350,1638981845.000437,3534848,0.0
6352,1638981846.129141,2318336,97.9
6350,1638981846.1292841,3534848,0.0
6353,1638981846.1289668,2330624,96.4
6352,1638981847.3525188,2318336,97.1
6353,1638981847.376944,2330624,98.4
6350,1638981847.38836,3534848,0.0
6352,1638981848.494598,2318336,93.0
6353,1638981848.523754,2330624,81.8
6350,1638981848.5229461,3534848,0.0
6352,1638981849.628039,2318336,99.6
6353,1638981849.655092,2330624,96.7
6350,1638981849.6488829,3534848,0.0
6352,1638981850.783083,2318336,97.0
6353,1638981850.797483,2330624,96.0
6350,1638981850.797291,3534848,0.0
6352,1638981851.9209678,2318336,98.8
6353,1638981851.920762,2330624,96.1
6350,1638981851.9332962,3534848,0.0
6352,1638981853.124471,2318336,101.7
6353,1638981853.147022,2330624,98.0
6350,1638981853.167178,3534848,0.0
6352,1638981854.306711,2318336,97.8
6350,1638981854.340537,3534848,0.0
6353,1638981854.3407302,2330624,96.7
6352,1638981855.4697301,2318336,99.1
6353,1638981855.480448,2330624,102.7
6350,1638981855.48029,3534848,0.0
6352,1638981856.639401,2318336,96.7
6353,1638981856.6526232,2330624,98.1
6350,1638981856.652915,3534848,0.0
6350,1638981857.764193,3534848,0.0
6353,1638981857.764344,2330624,81.1
6352,1638981857.764456,2318336,83.9
6350,1638981858.9271061,3534848,0.0
6352,1638981858.938657,2318336,99.3
6353,1638981858.938847,2330624,103.8
6352,1638981860.078964,2318336,98.6
6353,1638981860.106098,2330624,98.9
6350,1638981860.118023,3534848,0.0
6352,1638981861.293656,2318336,98.8
6350,1638981861.294005,3534848,0.0
6353,1638981861.2938461,2330624,94.9
6353,1638981862.423579,2330624,98.9
6352,1638981862.4233768,2318336,97.7
6350,1638981862.4341462,3534848,0.0
6352,1638981863.596456,2318336,90.0
6353,1638981863.582537,2330624,95.0
6350,1638981863.596231,3534848,0.0
6350,1638981864.777365,3534848,0.0
6352,1638981864.811832,2318336,78.4
6353,1638981864.8116438,2330624,80.8
6353,1638981865.947532,2330624,93.0
6352,1638981865.9477031,2318336,90.7
6350,1638981865.9478452,3534848,0.0
6350,1638981867.081719,3534848,0.0
6352,1638981867.08189,2318336,79.1
6353,1638981867.081528,2330624,80.7
6352,1638981868.196995,2318336,39.0
6353,1638981868.196427,2330624,33.1
6350,1638981868.1967602,3534848,0.0
6353,1638981869.3450282,2330624,45.4
6350,1638981869.3468192,3534848,0.0
6352,1638981869.3458939,2318336,42.6
6352,1638981870.4862652,2318336,15.5
6353,1638981870.49999,2330624,19.3
6350,1638981870.484222,3534848,0.0
6350,1638981871.792651,847872,0.0
6353,1638981871.790039,2134016,51.0
6352,1638981871.793804,2134016,56.3
6350,1638981872.943298,847872,0.0
6353,1638981872.9430919,2134016,99.0
6352,1638981872.943462,2134016,98.3
6350,1638981874.1154811,847872,0.0
6353,1638981874.115137,2134016,100.4
6352,1638981874.115324,2134016,95.7
6353,1638981875.363658,2134016,83.7
6352,1638981875.373034,2134016,80.6
6350,1638981875.384835,847872,0.0
6350,1638981876.6087859,847872,0.0
6353,1638981876.630264,2134016,90.2
6352,1638981876.6450438,2134016,99.3
6352,1638981877.845032,2134016,92.7
6353,1638981877.855385,2134016,96.6
6350,1638981877.855598,847872,0.0
6352,1638981879.003569,2134016,96.7
6353,1638981879.0231,2134016,95.3
6350,1638981879.022957,847872,0.0
6352,1638981880.18853,2134016,106.1
6353,1638981880.188725,2134016,99.3
6350,1638981880.201065,847872,0.0
6352,1638981881.3631098,2134016,104.1
6353,1638981881.4185238,2134016,99.8
6350,1638981881.418339,847872,0.0
6352,1638981882.5230138,2134016,103.2
6353,1638981882.538445,2134016,96.8
6350,1638981882.538632,847872,0.0
6353,1638981883.682488,2134016,78.5
6352,1638981883.70122,2134016,72.8
6350,1638981883.701393,847872,0.0
6353,1638981884.7992241,2134016,99.1
6352,1638981884.876549,2134016,89.5
6350,1638981884.919843,847872,0.0
6353,1638981885.973311,2134016,96.6
6352,1638981886.0011132,2134016,99.2
6350,1638981886.04794,847872,0.0
6353,1638981887.150023,2134016,100.2
6350,1638981887.189844,847872,0.0
6352,1638981887.215735,2134016,87.1
6350,1638981888.358287,847872,0.0
6352,1638981888.358476,2134016,95.1
6353,1638981888.358644,2134016,91.5
6350,1638981889.496809,745472,0.0
6352,1638981889.516922,2105344,31.4
6353,1638981889.516702,2105344,40.5
6350,1638981890.642813,745472,0.0
6353,1638981890.642644,2105344,95.1
6352,1638981890.642442,2105344,98.5
6350,1638981891.844013,745472,0.0
6353,1638981891.8699782,2105344,98.6
6352,1638981891.86364,2105344,100.3
6350,1638981893.011415,745472,0.0
6352,1638981893.0488188,2105344,89.3
6353,1638981893.0369961,2105344,93.4
6350,1638981894.22982,745472,0.0
6352,1638981894.229951,2105344,98.3
6353,1638981894.2294881,2105344,95.8
6352,1638981895.407902,2105344,97.1
6353,1638981895.4765399,2105344,95.4
6350,1638981895.4767292,745472,0.0
